선거구명,소속정당명,사진,성명(한자),성별,생년월일(연령),주소,직업,학력,경력,전과기록유무(건수),등록일자,huboId,선거유형,시도,조회_시도코드,조회_sggCityCode,조회_townCode
서울특별시,더불어민주당,,"정원오
 
(鄭愿伍)",남,"1968.08.12
(57세)",서울특별시 성동구 왕십리로,정당인,한양대학교 도시대학원 도시개발경영전공 박사 수료,"(전)민선 6,7,8기 성동구청장
(전)한양대학교 경영대학 특임교수",2건,2026-03-05,100157144,시도지사,서울특별시,1100,-1,-1
서울특별시,국민의힘,,"이승현
 
(李昇炫)",남,"1958.07.14
(67세)",서울특별시 강남구 선릉로,기업인,고려대학교 경영전문대학원 경영학석사(전공:Executive MBA),"(전)한국외국기업협회 회장
(현)한국무역협회 부회장",없음,2026-03-17,100158580,시도지사,서울특별시,1100,-1,-1
서울특별시,진보당,,"이상규
 
(李相奎)",남,"1965.01.07
(61세)",서울특별시 관악구 난곡로,배관공,서울대학교 법과대학 공법학과 졸업,"(현)진보당 모두를위한서울특위 위원장
(전)19대 관악을 국회의원",1건,2026-02-04,100153810,시도지사,서울특별시,1100,-1,-1
서울특별시,개혁신당,,"김정철
 
(金正澈)",남,"1976.10.02
(49세)",서울특별시 강남구 개포로,변호사(법무법인 우리 대표변호사),고려대학교 대학원 법학박사,"(전)서강대학교 법학전문대학원 겸임교수
(현)개혁신당 최고위원",없음,2026-03-17,100158541,시도지사,서울특별시,1100,-1,-1
서울특별시,국민연합,,"오희주
 
(吳熹珠)",여,"1983.09.15
(42세)",서울특별시 종로구 혜화로3길,정당인,이화여자대학교 대학원 북한학과 재학중,"(현)국민연합 서울특별시당 위원장
(전)오성종합건설(주) 대표이사",1건,2026-04-01,100161421,시도지사,서울특별시,1100,-1,-1
서울특별시,여성의당,,"유지혜
 
(柳志慧)",여,"1997.05.05
(29세)",서울특별시 강북구 오현로25라길,정당인,원광디지털대학교 한국문화학부 한국복식과학학과 졸업,"(현)여성의당 대변인
(전)제22대 국회의원선거 비례대표 여성의당 후보",없음,2026-04-20,100162632,시도지사,서울특별시,1100,-1,-1
서울특별시,자유통일당,,"이강산
 
(李江山)",남,"1989.08.29
(36세)",서울특별시 구로구 남부순환로95길,정당인,서울대학교 경영전문대학원 경영학과(SNU MBA) 졸업(석사),"(전)자유통일당 2025년 구로구청장 보궐선거 후보
(현)자유통일당 AI전략위원회 위원장",없음,2026-04-20,100162642,시도지사,서울특별시,1100,-1,-1
서울특별시,정의당,,"권영국
 
(權英國)",남,"1963.08.15
(62세)",서울특별시 마포구 월드컵로,정의당 대표,서울대학교 공과대학 금속공과 졸업,"(현)정의당 대표
(전)제1대 전국민주노동조합총연맹 법률원 원장",4건,2026-04-21,100162720,시도지사,서울특별시,1100,-1,-1
부산광역시,더불어민주당,,"이재성
 
(李在星)",남,"1970.10.08
(55세)",부산광역시 사하구 장림로,정당인,서울대학교 계산통계학과 졸업,"(전)더불어민주당 부산시당위원장
(전)이재명 후보직속 AI강국위원회 위원장",없음,2026-02-03,100153765,시도지사,부산광역시,2600,-1,-1
부산광역시,개혁신당,,"정이한
 
(鄭莉翰)",남,"1988.07.08
(37세)",부산광역시 부산진구 신천대로126번길,개혁신당 대변인,부산대학교 행정대학원 행정학과 석사과정 재학,"(현) 개혁신당 중앙당 대변인
(현) 개혁신당 부산시당위원장 직무대행",없음,2026-02-24,100155833,시도지사,부산광역시,2600,-1,-1
